Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
19-Jun-23,EQ,571.25,572.75,565.9,571.25,569.2,568.85,568.29,629.55,430.7,"1,79,03,691","10,17,44,91,934.45","2,13,062"
20-Jun-23,EQ,568.85,569.45,562.55,568.85,568,567.4,565.75,629.55,430.7,"1,45,49,152","8,23,11,66,324.45","2,16,416"
21-Jun-23,EQ,567.4,569.5,565.65,567.4,566.3,566.35,567.46,629.55,430.7,"1,49,46,871","8,48,17,84,144.45","2,19,147"
22-Jun-23,EQ,566.35,569,561.05,566.35,562.9,562.95,564.62,629.55,430.7,"1,49,79,063","8,45,74,57,302.25","1,99,200"
23-Jun-23,EQ,562,562.1,553.8,562.95,555.45,554.6,556.89,629.55,430.7,"1,22,15,712","6,80,28,03,838.55","2,18,058"
26-Jun-23,EQ,556,558.5,554.5,554.6,557.35,557.05,556.75,629.55,458,"83,60,264","4,65,46,18,050.30","1,64,198"
27-Jun-23,EQ,558.25,567.95,555.65,557.05,567.3,566.1,560.63,629.55,458,"1,06,94,768","5,99,57,85,528.20","2,11,284"
28-Jun-23,EQ,572.25,574,568.55,566.1,571,569.8,571.17,629.55,458,"1,80,28,934","10,29,76,58,917.65","2,43,601"
30-Jun-23,EQ,574,574,570.2,569.8,572.35,572.85,572.3,629.55,458,"87,18,232","4,98,94,42,645.40","1,55,913"
03-Jul-23,EQ,574.5,586.35,573.9,572.85,585.4,585.45,581.26,629.55,466.85,"1,54,21,985","8,96,41,44,325.90","2,11,446"
04-Jul-23,EQ,588.2,595.95,582.25,585.45,588.9,589.25,590.37,629.55,466.85,"2,47,99,250","14,64,08,54,129.20","3,50,400"
05-Jul-23,EQ,589.8,593.7,588.2,589.25,591.25,590.6,590.5,629.55,466.85,"1,35,98,114","8,02,97,06,202.95","2,71,617"
06-Jul-23,EQ,590.4,593.5,589.1,590.6,592.25,592.5,591.75,629.55,466.85,"1,13,23,509","6,70,06,79,504.10","1,88,528"
07-Jul-23,EQ,590,595.5,585.5,592.5,592.5,593.6,590.44,629.55,466.85,"1,17,07,209","6,91,24,13,770.85","2,20,036"
10-Jul-23,EQ,594.65,599.8,590.25,593.6,591.6,592.6,595.13,629.55,474.7,"1,14,17,363","6,79,48,59,601.00","1,75,959"
11-Jul-23,EQ,595,595.95,587.35,592.6,589.35,588.55,591.37,629.55,474.7,"1,32,21,177","7,81,86,63,062.75","2,24,137"
12-Jul-23,EQ,589,594.5,588.2,588.55,589.6,589.25,590.82,629.55,474.7,"1,60,29,716","9,47,06,54,030.50","2,27,576"
13-Jul-23,EQ,594.9,598,583.35,589.25,586,585.65,591.82,629.55,474.7,"2,00,24,503","11,85,08,04,940.95","2,92,405"
14-Jul-23,EQ,586.75,591.3,580.7,585.65,584.85,584.4,584.92,629.55,474.7,"1,21,90,152","7,13,02,26,704.30","1,91,652"
17-Jul-23,EQ,587,602.85,584.2,584.4,602,601.1,594.72,629.55,482.1,"1,93,78,986","11,52,51,51,182.85","2,55,411"
18-Jul-23,EQ,603.05,604.05,588.75,601.1,592.5,592.35,597.04,629.55,482.1,"2,57,57,209","15,37,80,20,448.05","3,56,474"
19-Jul-23,EQ,594.65,602.4,592,592.35,600.85,601.45,598.2,629.55,482.1,"1,75,56,585","10,50,24,35,041.00","2,29,380"
20-Jul-23,EQ,601.4,610.8,598.75,601.45,610,610.05,607.09,629.55,482.1,"3,40,38,351","20,66,41,79,322.85","4,18,329"
21-Jul-23,EQ,610,619.5,609,610.05,615.35,615.1,616.02,629.55,482.1,"2,10,40,281","12,96,12,08,006.40","2,78,392"
24-Jul-23,EQ,615.05,621.9,614.3,615.1,617.9,617.65,618.22,629.55,499.35,"1,17,56,364","7,26,80,33,560.60","2,02,347"
25-Jul-23,EQ,621.8,621.8,604.2,617.65,609.9,609.6,610.43,629.55,499.35,"1,85,03,305","11,29,48,99,424.10","2,82,970"
26-Jul-23,EQ,612,616.35,609.15,609.6,614.4,615.15,613.49,629.55,499.35,"99,99,125","6,13,44,01,476.75","1,72,572"
27-Jul-23,EQ,616.4,621.25,613.1,615.15,617,616.55,616.65,629.55,499.35,"1,74,44,742","10,75,73,20,781.55","2,26,610"
28-Jul-23,EQ,616.4,619.9,613.6,616.55,616,616.05,616.59,629.55,499.35,"1,19,30,586","7,35,62,36,982.10","1,61,432"
31-Jul-23,EQ,616.65,621,614.5,616.05,619,620.2,618.92,629.55,499.35,"86,05,483","5,32,61,28,162.15","1,24,305"
01-Aug-23,EQ,620.2,620.85,610.6,620.2,612.4,611.85,614.09,629.55,499.35,"1,34,93,453","8,28,62,25,481.95","1,99,918"
02-Aug-23,EQ,609.85,610.5,594.1,611.85,598.8,598.45,601.63,629.55,499.35,"1,49,77,497","9,01,09,47,970.40","2,73,820"
03-Aug-23,EQ,598.7,600.85,585,598.45,591.25,590.5,590.78,629.55,499.35,"2,77,74,877","16,40,88,64,220.80","3,20,867"
04-Aug-23,EQ,594.8,598.7,571.4,590.5,573.2,573.3,582.94,629.55,499.35,"5,27,25,616","30,73,59,73,949.65","5,68,761"
07-Aug-23,EQ,577,577,566.65,573.3,568.35,567.9,569.52,629.55,499.35,"3,27,36,325","18,64,39,67,967.55","4,24,649"
08-Aug-23,EQ,571,574.25,568.45,567.9,573.7,573.1,571.54,629.55,499.35,"2,50,38,671","14,31,05,53,091.45","3,53,947"
09-Aug-23,EQ,575,575,568.35,573.1,573.65,573.75,571.15,629.55,499.35,"1,57,69,111","9,00,65,04,554.10","2,47,711"
10-Aug-23,EQ,573.75,577.6,570.1,573.75,574,573.65,573.33,629.55,499.35,"2,73,25,801","15,66,65,66,522.25","4,21,225"
11-Aug-23,EQ,575.45,579,572,573.65,574.5,574.15,575.36,629.55,499.35,"1,82,21,179","10,48,37,83,178.00","2,63,372"
14-Aug-23,EQ,572.95,573,558.6,574.15,561,560.8,561.45,629.55,499.35,"2,80,84,093","15,76,76,94,753.00","4,78,707"
16-Aug-23,EQ,558.8,566.4,554,560.8,565.05,565.35,563.54,629.55,499.35,"1,57,25,767","8,86,20,34,153.75","1,90,829"
17-Aug-23,EQ,565.75,573.15,564,565.35,571.75,572.15,568.81,629.55,499.35,"2,79,10,162","15,87,54,89,835.20","3,38,178"
18-Aug-23,EQ,570,575.25,567.4,572.15,571.15,572.95,571.79,629.55,499.35,"1,82,53,227","10,43,70,30,633.70","2,96,911"
21-Aug-23,EQ,572.95,575.55,570.75,572.95,571.3,571.7,572.74,629.55,499.35,"93,80,810","5,37,27,33,325.40","1,54,325"
22-Aug-23,EQ,572.5,574.45,567.5,571.7,568.2,568.5,570.63,629.55,499.35,"1,40,73,413","8,03,07,60,756.35","1,94,890"
23-Aug-23,EQ,571,577.95,566,568.5,576.3,576.9,572.66,629.55,499.35,"1,85,79,297","10,63,96,20,981.45","2,60,827"
24-Aug-23,EQ,578.15,582,575.55,576.9,577,576.95,578,629.55,499.35,"2,41,31,644","13,94,80,78,521.65","3,21,952"
25-Aug-23,EQ,573.8,575.3,567.2,576.95,569.7,569.95,571.2,629.55,499.35,"1,22,71,885","7,00,96,92,537.00","1,98,589"
28-Aug-23,EQ,572.8,574.8,569.2,569.95,573.1,572.85,571.84,629.55,499.35,"97,11,932","5,55,37,05,392.90","1,81,649"
29-Aug-23,EQ,573.65,576.3,571.85,572.85,575.25,574.85,574.01,629.55,499.35,"1,31,44,855","7,54,53,23,890.40","2,32,951"
30-Aug-23,EQ,576.7,577.7,566.1,574.85,567.5,567.4,571.91,629.55,499.35,"1,52,81,416","8,73,96,16,795.90","2,45,036"
31-Aug-23,EQ,569.3,570.3,559.4,567.4,562.15,561.35,564.43,629.55,499.35,"2,78,98,476","15,74,66,86,711.25","3,26,854"
